destination,country,description,category,average_cost,weather,activities,image_url
Reykjavik,Iceland,"Ciudad nórdica con paisajes únicos, geiseres y auroras boreales",Aventura,2501.45,Frío,"termas, excursiones",https://images.unsplash.com/photo-1602167352863-04e8d262d56f
Paris,France,Ciudad romántica con gran riqueza cultural y gastronómica,Cultural,1616.56,Templado,"Museos, gastronomía, monumentos, shopping",https://images.unsplash.com/photo-1502602898657-3e91760cbb34
Lyon,France,Centro gastronómico y patrimonial con barrios medievales y riberas del Ródano,Urbano,1226.91,Templado,"Gastronomía, paseos a pie, museos, photo spots",https://images.unsplash.com/photo-1602087594298-706ccc894bfd
Marseille,France,"Puerto mediterráneo con mezcla cultural, mercados y costa",Cultural,1508.02,Cálido,"puerto viejo, gastronomía",https://images.unsplash.com/photo-1739353190153-f857475cf242
Nice,France,"Destino en la Riviera con paseo marítimo, playas y clima suave",Aventura,1234.05,Cálido,"Playas, paseos, museos, food tours",https://images.unsplash.com/photo-1643914729809-4aa59fdc4c17
Bordeaux,France,Región vinícola famosa por sus bodegas y arquitectura del siglo XVIII,Cultural,1374.22,Templado,"Visitas a bodegas, gastronomía, arquitectura, photo spots",https://images.unsplash.com/photo-1655574282152-8f3fbdfa8da4
Rome,Italy,Centro histórico con arquitectura milenaria y gastronomía reconocida,Histórico,1838.18,Templado,"Ruinas, museos, recorridos guiados, local museums",https://images.unsplash.com/photo-1552832230-c0197dd311b5
Venice,Italy,Ciudad única construida sobre canales con gran atractivo turístico,Cultural,1498.33,Templado,"Paseos en góndola, museos, tours históricos, shopping",https://plus.unsplash.com/premium_photo-1661963047742-dabc5a735357
Florence,Italy,Capital del Renacimiento y una de las ciudades más artísticas de Europa,Cultural,1577.23,Templado,"galerías, arquitectura",https://images.unsplash.com/photo-1476362174823-3a23f4aa6d76
Milan,Italy,Centro financiero y de la moda con catedrales y shopping de alto nivel,Urbano,1501.94,Templado,"Compras, arquitectura, gastronomía, shopping",https://images.unsplash.com/photo-1667020938802-2a2394842adf
Naples,Italy,"Ciudad histórica junto al Vesubio, puerta a Pompeya y la costa amalfitana",Histórico,1661.11,Cálido,"gastronomía, paseos costeros",https://images.unsplash.com/photo-1612698093158-e07ac200d44e
Barcelona,Spain,Ciudad mediterránea con arquitectura única y vida nocturna activa,Relax,1134.94,Cálido,"Playas, arte, gastronomía, photo spots",https://images.unsplash.com/photo-1464790719320-516ecd75af6c
Madrid,Spain,"Capital de España con museos, parques y un ambiente moderno",Urbano,1372.29,Templado,"Museos, gastronomía, recorridos urbanos, shopping",https://images.unsplash.com/photo-1543783207-ec64e4d95325
Seville,Spain,"Corazón andaluz con palacios, flamenco y casco histórico atractivo",Histórico,932.71,Cálido,"Palacios, flamenco, recorridos a pie, shopping",https://images.unsplash.com/photo-1656596297359-7cfc62018427
Valencia,Spain,"Ciudad costera con arquitectura moderna, playas y paella tradicional",Relax,1416.01,Cálido,"Playas, ciencia y arte",https://plus.unsplash.com/premium_photo-1697729417574-e41f0c327665
Granada,Spain,Ciudad andaluza con la Alhambra y barrios históricos sobre la sierra,Histórico,1009.69,Templado,"Palacios, senderismo, gastronomía, adventure park",https://images.unsplash.com/photo-1564740603199-5f56138c6679
Berlin,Germany,Ciudad moderna con historia reciente y vibrante vida cultural,Urbano,1640.42,Frío,"Museos, tours históricos",https://images.unsplash.com/photo-1528728329032-2972f65dfb3f
Munich,Germany,"Ciudad tradicional bávara, famosa por su arquitectura y festivales",Cultural,1291.47,Frío,"Museos, cervecerías",https://images.unsplash.com/photo-1649609765902-254a227dc960
Hamburg,Germany,"Puerto importante con canales, vida cultural y música",Urbano,1710.42,Frío,"Paseos por el puerto, conciertos",https://images.unsplash.com/photo-1685113349417-2f2e20a94782
Cologne,Germany,Ciudad histórica a orillas del Rin con catedral gótica imponente,Histórico,1391.05,Frío,"Catedral, museos, paseos en barco, local museums",https://images.unsplash.com/photo-1722722864801-962b94fbb715
Frankfurt,Germany,Centro financiero con rascacielos y buenos enlaces para negocios,Urbano,1113.34,Frío,"Negocios, museos, gastronomía, shopping",https://images.unsplash.com/photo-1650024001493-1c060d666102
Amsterdam,Netherlands,Ciudad de canales con un ambiente relajado y museos importantes,Urbano,1711.64,Frío,"Museos, paseos en bicicleta, local museums",https://images.unsplash.com/photo-1745600117455-d93609ff9fbd
Rotterdam,Netherlands,Puerto moderno con arquitectura contemporánea y vida cultural activa,Urbano,1366.46,Frío,"Arquitectura, puerto",https://plus.unsplash.com/premium_photo-1716296465623-75be56e8036d
Utrecht,Netherlands,Ciudad universitaria con canales tranquilos y patrimonio medieval,Cultural,1233.59,Frío,"cafés, museos",https://plus.unsplash.com/premium_photo-1694475538376-606f114e0853
The Hague,Netherlands,Sede de instituciones internacionales y playas cercanas,Urbano,1692.65,Frío,"Instituciones, playas",https://images.unsplash.com/photo-1594477778796-48c808b4c443
Maastricht,Netherlands,"Ciudad histórica en el sur, famosa por su centro peatonal y gastronomía",Cultural,916.83,Templado,"gastronomía, festivales",https://images.unsplash.com/photo-1682285323616-b1f6ab16b96b
Brussels,Belgium,Ciudad multicultural con arquitectura clásica y excelente gastronomía,Cultural,1357.5,Frío,"Museos, chocolates, tours, food tours",https://images.unsplash.com/photo-1575845664732-ee40fdc525a3
Tokyo,Japan,Megaciudad tecnológica con tradición cultural milenaria,Urbano,1896.34,Templado,"Museos, compras",https://images.unsplash.com/photo-1549693578-d683be217e58
Kyoto,Japan,"Capital cultural de Japón, famosa por templos, jardines y tradiciones",Cultural,1925.87,Templado,"Templos, jardines, ceremonias, adventure park",https://images.unsplash.com/photo-1545569341-9eb8b30979d9
Osaka,Japan,Ciudad moderna llena de gastronomía y entretenimiento,Urbano,2103.32,Templado,"Compras, museos",https://images.unsplash.com/photo-1542210940661-5f91cb7afe02
Hiroshima,Japan,Ciudad histórica conocida por su memorial de la paz y cultura contemporánea,Cultural,1600.98,Templado,"Museos, memoriales",https://images.unsplash.com/photo-1669777776138-0cabf8027f37
Sapporo,Japan,"Capital de Hokkaido, famosa por nieve, cerveza y festivales de invierno",Familiar,1726.32,Frío,"Festivales, esquí, gastronomía local, shopping",https://plus.unsplash.com/premium_photo-1724593825200-39731dcdacf8
Seoul,South Korea,"Ciudad moderna con cultura pop, tecnología y palacios históricos",Urbano,1870.63,Frío,"Compras, templos, gastronomía, photo spots",https://images.unsplash.com/photo-1506816561089-5cc37b3aa9b0?
Busan,South Korea,Ciudad costera famosa por playas y mercados tradicionales,Familiar,1499.57,Cálido,"senderismo, mercados",https://plus.unsplash.com/premium_photo-1661886360250-87b18410aefd
Daegu,South Korea,"Ciudad con tradición textil, festivales culturales y mercados locales",Urbano,1268.63,Templado,"festivales, gastronomía",https://images.unsplash.com/photo-1663670889635-0aabebf112ba
Incheon,South Korea,Importante puerto y hub cercano a Seúl con ocio y playas urbanas,Urbano,1426.12,Templado,"Playas, paseos",https://images.unsplash.com/photo-1641773861272-d2ce368924bc
Jeju,South Korea,"Isla volcánica con paisajes naturales, cascadas y playas volcánicas",Aventura,1131.61,Templado,"Senderismo, playas, tours naturales, adventure park",https://images.unsplash.com/photo-1701178086825-c1ca5fab2f34
Bangkok,Thailand,"Ciudad vibrante con templos, mercados nocturnos y gastronomía",Cultural,1286.76,Tropical,"Templos, compras, gastronomía, local museums",https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9
Phuket,Thailand,Isla tropical famosa por playas y actividades acuáticas,Playa,1085.33,Tropical,"Playas, snorkel, paseos en barco, local museums",https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Bali,Indonesia,"Isla paradisíaca con playas, templos y naturaleza exuberante",Playa,1451.68,Tropical,"Surf, templos",https://plus.unsplash.com/premium_photo-1677829177642-30def98b0963
Singapore,Singapore,"Ciudad-estado moderna, organizada y multicultural",Urbano,1635.57,Tropical,"Compras, parques",https://plus.unsplash.com/premium_photo-1697730373939-3ebcaa9d295e
Sydney,Australia,Ciudad costera famosa por la Opera House y sus playas,Urbano,1865.43,Templado,"Playas, museos",https://plus.unsplash.com/premium_photo-1697730221799-f2aa87ab2c5d
Melbourne,Australia,Ciudad cultural con excelente calidad de vida y arte urbano,Urbano,2102.09,Templado,"Museos, cafés, galerías, shopping",https://plus.unsplash.com/premium_photo-1733338816344-1a21444a646f
Auckland,New Zealand,"Ciudad rodeada de naturaleza, volcanes y actividades al aire libre",Aventura,2724.17,Templado,"Senderismo, tours, navegación, adventure park",https://images.unsplash.com/photo-1507699622108-4be3abd695ad
Toronto,Canada,"Ciudad multicultural con museos, parques y vida urbana activa",Urbano,2084.5,Frío,"Museos, parques",https://plus.unsplash.com/premium_photo-1694475481348-7cbe417be129
Vancouver,Canada,"Ciudad costera rodeada de montañas, ideal para actividades al aire libre",Aventura,2413.33,Frío,"Senderismo, tours",https://images.unsplash.com/photo-1506811238036-c14a9b4e0a83
New York,USA,"Ciudad icónica con rascacielos, museos y amplia vida cultural",Urbano,1487.01,Frío,"parques, espectáculos",https://plus.unsplash.com/premium_photo-1714051660720-888e8454a021
Los Angeles,USA,"Ciudad costera con clima cálido, playas y entretenimiento",Playa,2142.06,Cálido,"Playas, gastronomía",https://images.unsplash.com/photo-1597982087634-9884f03198ce
Miami,USA,Destino playero internacional con vida nocturna y clima tropical,Naturaleza,2036.11,Tropical,"Playas, compras",https://plus.unsplash.com/premium_photo-1697730215093-baeae8060bfe
San Francisco,USA,"Ciudad costera con puente icónico, colinas y escena tecnológica",Urbano,1863.62,Templado,"Puente, barrios, gastronomía, local museums",https://images.unsplash.com/photo-1597388708659-93999d38d96a
Chicago,USA,Ciudad con bastantes edificios y vida cultural activa,Relax,1596.7,Frío,Arquitectura,https://images.unsplash.com/photo-1706020117675-0cfade6b45bd
Cusco,Peru,Capital histórica del imperio Inca y puerta a Machu Picchu,Histórico,1053.78,Frío,"Ruinas, trekking, cultura, adventure park",https://images.unsplash.com/photo-1526392060635-9d6019884377
Lima,Peru,Capital gastronómica de Sudamérica con clima templado y costa,Urbano,1226.8,Templado,"Gastronomía, museos, playas, local museums",https://images.unsplash.com/photo-1577587230708-187fdbef4d91
Arequipa,Peru,Ciudad colonial rodeada de volcanes y arquitectura con sillar blanco,Familiar,817.87,Templado,"City tours, museos",https://plus.unsplash.com/premium_photo-1697730225889-8d7fccad86a2
Trujillo,Peru,Ciudad costera norteña con patrimonio colonial y Huacas precolombinas,Cultural,1014.31,Templado,"Sitios arqueológicos, playas, gastronomía, photo spots",https://plus.unsplash.com/premium_photo-1697730089767-45e915ef27f9
Iquitos,Peru,Puerta de entrada a la Amazonía peruana con eco-turismo fluvial,Aventura,1132.41,Tropical,"Excursiones en la selva, fauna, mercados, adventure park",https://images.unsplash.com/photo-1588837276720-2d2c1de8d05f?
Buenos Aires,Argentina,Capital vibrante con cultura europea y vida nocturna activa,Urbano,1017.75,Templado,"Museos, tango, recorridos urbanos, food tours",https://plus.unsplash.com/premium_photo-1697729901052-fe8900e24993
Rio de Janeiro,Brazil,"Ciudad tropical famosa por playas, samba y el Cristo Redentor",Playa,1322.92,Tropical,"Playas, tours",https://plus.unsplash.com/premium_photo-1671211307997-f4f552b0601c
São Paulo,Brazil,A beautiful place to enjoy compras and experience cold weather.,Cultural,3351.47,Tropical,surfing,https://images.unsplash.com/photo-1554168848-228452c09d60
Santiago,Chile,Capital moderna rodeada de montañas y viñedos,Cultural,1483.78,Templado,"Viñedos, museos, senderismo, food tours",https://images.unsplash.com/photo-1689850543263-01a52ccc6943
Cape Town,South Africa,"Ciudad costera con montañas, playas y vida silvestre",Aventura,2087.57,Templado,"Playas, senderismo",https://images.unsplash.com/photo-1649148389196-51743eafef3f
Cairo,Egypt,"Ciudad histórica con pirámides, museos y mercado tradicional",Relax,1136.94,Cálido,"Pirámides, museos, tours, shopping",https://images.unsplash.com/photo-1626692880062-35c360fb6afc
Giza,Egypt,"Ubicación de las famosas pirámides y la Esfinge, a las afueras de El Cairo",Naturaleza,1549.24,Cálido,"Pirámides, visitas arqueológicas, paseos en camello, photo spots",https://images.unsplash.com/photo-1666136242373-f060fff09729
Luxor,Egypt,Antigua Tebas con templos y el Valle de los Reyes,Histórico,1132.64,Cálido,"tumbas, excursiones en faluca",https://plus.unsplash.com/premium_photo-1661962355663-2a435ccf844d
Aswan,Egypt,"Tranquila ciudad del sur con represa, templos y acceso al Nilo",Familiar,1562.27,Cálido,"Paseos por el Nilo, templos, mercados, local museums",https://plus.unsplash.com/premium_photo-1694475193074-914ee0eb7308
Alexandria,Egypt,Puerto mediterráneo con historia greco-romana y bibliotecas,Cultural,1047.03,Cálido,"Museos, costa, patrimonio, shopping",https://images.unsplash.com/photo-1633624646814-3a61ed3e2847
Dubai,United Arab Emirates,"Ciudad futurista con desierto, rascacielos y lujo",Urbano,2330.01,Cálido,"Compras, desierto, tours, adventure park",https://images.unsplash.com/photo-1512453979798-5ea266f8880c
Marrakech,Morocco,"Ciudad tradicional famosa por mercados, arquitectura y desierto",Cultural,1438.24,Cálido,"palacios, tours",https://images.unsplash.com/photo-1624805098931-098c0d918b34
Athens,Greece,Ciudad histórica con ruinas antiguas y clima mediterráneo,Histórico,1558.07,Cálido,"Ruinas, museos, gastronomía, shopping",https://images.unsplash.com/photo-1603565816030-6b389eeb23cb
Santorini,Greece,"Isla volcánica famosa por sus vistas, playas y arquitectura blanca",Playa,1745.61,Cálido,"Playas, tours en barco, gastronomía, adventure park",https://images.unsplash.com/photo-1688664562000-4c1f7cdb48f8
Mykonos,Greece,"Isla conocida por playas, vida nocturna y arquitectura cicládica",Playa,1614.59,Cálido,"Playas, navegación",https://images.unsplash.com/photo-1601581875309-fafbf2d3ed3a
Thessaloniki,Greece,"Segunda ciudad del país con historia, gastronomía y costa",Cultural,1088.32,Templado,"Museos, paseos",https://plus.unsplash.com/premium_photo-1661948398544-385ffa745b48
Heraklion,Greece,"Puerto principal de Creta, puerta a playas y sitios arqueológicos",Aventura,1506.7,Cálido,"Playa, arqueología",https://images.unsplash.com/photo-1660806886383-d8558af05201
Reykjavik,Iceland,"Ciudad nórdica con paisajes únicos, geiseres y auroras boreales",Aventura,3194.5,Frío,"Geiseres, termas, excursiones, adventure park",https://images.unsplash.com/photo-1602167352863-04e8d262d56f
Paris,France,Ciudad romántica con gran riqueza cultural y gastronómica,Familiar,1380.07,Templado,"Museos, gastronomía, monumentos, food tours",https://images.unsplash.com/photo-1502602898657-3e91760cbb34
Lyon,France,Centro gastronómico y patrimonial con barrios medievales y riberas del Ródano,Urbano,1090.21,Templado,"paseos a pie, museos",https://images.unsplash.com/photo-1602087594298-706ccc894bfd
Marseille,France,"Puerto mediterráneo con mezcla cultural, mercados y costa",Aventura,1113.87,Cálido,"puerto viejo, gastronomía",https://images.unsplash.com/photo-1739353190153-f857475cf242
Nice,France,"Destino en la Riviera con paseo marítimo, playas y clima suave",Playa,1318.81,Cálido,"paseos, museos",https://images.unsplash.com/photo-1643914729809-4aa59fdc4c17
Bordeaux,France,Región vinícola famosa por sus bodegas y arquitectura del siglo XVIII,Cultural,1182.1,Templado,"Visitas a bodegas, gastronomía",https://images.unsplash.com/photo-1655574282152-8f3fbdfa8da4
Rome,Italy,Centro histórico con arquitectura milenaria y gastronomía reconocida,Naturaleza,1573.1,Templado,"Ruinas, museos, recorridos guiados, adventure park",https://images.unsplash.com/photo-1552832230-c0197dd311b5
Venice,Italy,Ciudad única construida sobre canales con gran atractivo turístico,Cultural,2025.04,Templado,"Paseos en góndola, museos, tours históricos, adventure park",https://plus.unsplash.com/premium_photo-1661963047742-dabc5a735357
Florence,Italy,Capital del Renacimiento y una de las ciudades más artísticas de Europa,Cultural,1846.38,Templado,"Museos, arquitectura",https://images.unsplash.com/photo-1476362174823-3a23f4aa6d76
Milan,Italy,Centro financiero y de la moda con catedrales y shopping de alto nivel,Urbano,1309.44,Templado,"Compras, arquitectura, gastronomía, adventure park",https://images.unsplash.com/photo-1667020938802-2a2394842adf
Naples,Italy,"Ciudad histórica junto al Vesubio, puerta a Pompeya y la costa amalfitana",Histórico,1318.98,Cálido,"Ruinas, paseos costeros",https://images.unsplash.com/photo-1612698093158-e07ac200d44e
Barcelona,Spain,Ciudad mediterránea con arquitectura única y vida nocturna activa,Urbano,1558.3,Cálido,"arte, gastronomía",https://images.unsplash.com/photo-1464790719320-516ecd75af6c
Madrid,Spain,"Capital de España con museos, parques y un ambiente moderno",Urbano,1107.95,Templado,"Museos, gastronomía, recorridos urbanos, food tours",https://images.unsplash.com/photo-1543783207-ec64e4d95325
Seville,Spain,"Corazón andaluz con palacios, flamenco y casco histórico atractivo",Naturaleza,1490.55,Cálido,"Palacios, flamenco, recorridos a pie, food tours",https://images.unsplash.com/photo-1656596297359-7cfc62018427
Valencia,Spain,"Ciudad costera con arquitectura moderna, playas y paella tradicional",Naturaleza,1293.81,Cálido,"Playas, ciencia y arte",https://plus.unsplash.com/premium_photo-1697729417574-e41f0c327665
Granada,Spain,Ciudad andaluza con la Alhambra y barrios históricos sobre la sierra,Histórico,1202.83,Templado,"Palacios, senderismo, gastronomía, food tours",https://images.unsplash.com/photo-1564740603199-5f56138c6679
Berlin,Germany,Ciudad moderna con historia reciente y vibrante vida cultural,Urbano,1773.09,Frío,"Museos, tours históricos, música, adventure park",https://images.unsplash.com/photo-1528728329032-2972f65dfb3f
Munich,Germany,"Ciudad tradicional bávara, famosa por su arquitectura y festivales",Cultural,1892.94,Frío,"cervecerías, recorridos",https://images.unsplash.com/photo-1649609765902-254a227dc960
Hamburg,Germany,"Puerto importante con canales, vida cultural y música",Urbano,1105.19,Frío,"Paseos por el puerto, museos",https://images.unsplash.com/photo-1685113349417-2f2e20a94782
Cologne,Germany,Ciudad histórica a orillas del Rin con catedral gótica imponente,Naturaleza,1637.66,Frío,"Catedral, museos, paseos en barco, local museums",https://images.unsplash.com/photo-1722722864801-962b94fbb715
Frankfurt,Germany,Centro financiero con rascacielos y buenos enlaces para negocios,Urbano,1182.97,Frío,"Negocios, museos, gastronomía, local museums",https://images.unsplash.com/photo-1650024001493-1c060d666102
Amsterdam,Netherlands,Ciudad de canales con un ambiente relajado y museos importantes,Urbano,2077.89,Frío,"Museos, paseos en bicicleta, shopping",https://images.unsplash.com/photo-1745600117455-d93609ff9fbd
Rotterdam,Netherlands,Puerto moderno con arquitectura contemporánea y vida cultural activa,Cultural,1584.71,Frío,"Arquitectura, puerto",https://plus.unsplash.com/premium_photo-1716296465623-75be56e8036d
Utrecht,Netherlands,Ciudad universitaria con canales tranquilos y patrimonio medieval,Cultural,941.79,Frío,"Paseos, cafés, museos, photo spots",https://plus.unsplash.com/premium_photo-1694475538376-606f114e0853
The Hague,Netherlands,Sede de instituciones internacionales y playas cercanas,Urbano,1519.36,Frío,"Instituciones, playas, museos, shopping",https://images.unsplash.com/photo-1594477778796-48c808b4c443
Maastricht,Netherlands,"Ciudad histórica en el sur, famosa por su centro peatonal y gastronomía",Cultural,1007.46,Templado,"Paseos, gastronomía, festivales, shopping",https://images.unsplash.com/photo-1682285323616-b1f6ab16b96b
Brussels,Belgium,Ciudad multicultural con arquitectura clásica y excelente gastronomía,Cultural,1401.68,Frío,"Museos, tours",https://images.unsplash.com/photo-1575845664732-ee40fdc525a3
Tokyo,Japan,Megaciudad tecnológica con tradición cultural milenaria,Urbano,2124.6,Templado,"Museos, compras",https://images.unsplash.com/photo-1549693578-d683be217e58
Kyoto,Japan,"Capital cultural de Japón, famosa por templos, jardines y tradiciones",Cultural,2327.17,Templado,"jardines, ceremonias",https://images.unsplash.com/photo-1545569341-9eb8b30979d9
Osaka,Japan,Ciudad moderna llena de gastronomía y entretenimiento,Urbano,2246.0,Templado,"Compras, parques, museos, food tours",https://images.unsplash.com/photo-1542210940661-5f91cb7afe02
Hiroshima,Japan,Ciudad histórica conocida por su memorial de la paz y cultura contemporánea,Histórico,1259.82,Templado,"Museos, memoriales, gastronomía, local museums",https://images.unsplash.com/photo-1669777776138-0cabf8027f37
Sapporo,Japan,"Capital de Hokkaido, famosa por nieve, cerveza y festivales de invierno",Aventura,1651.18,Frío,"esquí, gastronomía local",https://plus.unsplash.com/premium_photo-1724593825200-39731dcdacf8
Seoul,South Korea,"Ciudad moderna con cultura pop, tecnología y palacios históricos",Urbano,1489.26,Frío,"Compras, templos, gastronomía, adventure park",https://images.unsplash.com/photo-1506816561089-5cc37b3aa9b0?
Busan,South Korea,Ciudad costera famosa por playas y mercados tradicionales,Playa,1550.25,Cálido,"Playas, senderismo, mercados, photo spots",https://plus.unsplash.com/premium_photo-1661886360250-87b18410aefd
Daegu,South Korea,"Ciudad con tradición textil, festivales culturales y mercados locales",Urbano,1129.38,Templado,"Mercados, festivales, gastronomía, adventure park",https://images.unsplash.com/photo-1663670889635-0aabebf112ba
Incheon,South Korea,Importante puerto y hub cercano a Seúl con ocio y playas urbanas,Urbano,1554.87,Templado,"Playas, paseos, gastronomía, photo spots",https://images.unsplash.com/photo-1641773861272-d2ce368924bc
Jeju,South Korea,"Isla volcánica con paisajes naturales, cascadas y playas volcánicas",Aventura,1724.13,Templado,"Senderismo, playas, tours naturales, food tours",https://images.unsplash.com/photo-1701178086825-c1ca5fab2f34
Bangkok,Thailand,"Ciudad vibrante con templos, mercados nocturnos y gastronomía",Cultural,1287.18,Tropical,"Templos, compras, gastronomía, food tours",https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9
Phuket,Thailand,Isla tropical famosa por playas y actividades acuáticas,Playa,1455.0,Tropical,"Playas, snorkel, paseos en barco, shopping",https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Bali,Indonesia,"Isla paradisíaca con playas, templos y naturaleza exuberante",Playa,1131.53,Tropical,"Surf, templos, senderismo, photo spots",https://plus.unsplash.com/premium_photo-1677829177642-30def98b0963
Singapore,Singapore,"Ciudad-estado moderna, organizada y multicultural",Aventura,2425.24,Tropical,"Compras, parques, gastronomía, shopping",https://plus.unsplash.com/premium_photo-1697730373939-3ebcaa9d295e
Sydney,Australia,Ciudad costera famosa por la Opera House y sus playas,Urbano,1854.32,Templado,"Playas, parques, museos, photo spots",https://plus.unsplash.com/premium_photo-1697730221799-f2aa87ab2c5d
Melbourne,Australia,Ciudad cultural con excelente calidad de vida y arte urbano,Urbano,2111.99,Templado,"Museos, cafés, galerías, local museums",https://plus.unsplash.com/premium_photo-1733338816344-1a21444a646f
Auckland,New Zealand,"Ciudad rodeada de naturaleza, volcanes y actividades al aire libre",Aventura,2504.91,Templado,"Senderismo, navegación",https://images.unsplash.com/photo-1507699622108-4be3abd695ad
Toronto,Canada,"Ciudad multicultural con museos, parques y vida urbana activa",Urbano,1726.77,Frío,"Museos, parques, gastronomía, local museums",https://plus.unsplash.com/premium_photo-1694475481348-7cbe417be129
Vancouver,Canada,"Ciudad costera rodeada de montañas, ideal para actividades al aire libre",Cultural,2179.92,Frío,"Senderismo, esquí",https://images.unsplash.com/photo-1506811238036-c14a9b4e0a83
New York,USA,"Ciudad icónica con rascacielos, museos y amplia vida cultural",Urbano,1891.82,Frío,"Museos, parques, espectáculos, adventure park",https://plus.unsplash.com/premium_photo-1714051660720-888e8454a021
Los Angeles,USA,"Ciudad costera con clima cálido, playas y entretenimiento",Playa,2089.39,Cálido,"Playas, tours, gastronomía, shopping",https://images.unsplash.com/photo-1597982087634-9884f03198ce
Miami,USA,Destino playero internacional con vida nocturna y clima tropical,Cultural,1974.43,Tropical,"Playas, compras, gastronomía, shopping",https://plus.unsplash.com/premium_photo-1697730215093-baeae8060bfe
San Francisco,USA,"Ciudad costera con puente icónico, colinas y escena tecnológica",Urbano,2189.17,Templado,"Puente, barrios",https://images.unsplash.com/photo-1597388708659-93999d38d96a
Chicago,USA,Ciudad con bastantes edificios y vida cultural activa,Urbano,1680.46,Frío,gastronomía,https://images.unsplash.com/photo-1706020117675-0cfade6b45bd
Cusco,Peru,Capital histórica del imperio Inca y puerta a Machu Picchu,Histórico,1404.51,Frío,"Ruinas, cultura",https://images.unsplash.com/photo-1526392060635-9d6019884377
Lima,Peru,Capital gastronómica de Sudamérica con clima templado y costa,Urbano,949.25,Templado,"Gastronomía, museos, playas, shopping",https://images.unsplash.com/photo-1577587230708-187fdbef4d91
Arequipa,Peru,Ciudad colonial rodeada de volcanes y arquitectura con sillar blanco,Histórico,1066.89,Templado,"City tours, museos, trekking, local museums",https://plus.unsplash.com/premium_photo-1697730225889-8d7fccad86a2
Trujillo,Peru,Ciudad costera norteña con patrimonio colonial y Huacas precolombinas,Cultural,995.83,Templado,"Sitios arqueológicos, playas, gastronomía, adventure park",https://plus.unsplash.com/premium_photo-1697730089767-45e915ef27f9
Iquitos,Peru,Puerta de entrada a la Amazonía peruana con eco-turismo fluvial,Aventura,1100.46,Tropical,"Excursiones en la selva, fauna, mercados, food tours",https://images.unsplash.com/photo-1588837276720-2d2c1de8d05f?
Buenos Aires,Argentina,Capital vibrante con cultura europea y vida nocturna activa,Urbano,1281.68,Templado,"Museos, tango",https://plus.unsplash.com/premium_photo-1697729901052-fe8900e24993
Rio de Janeiro,Brazil,"Ciudad tropical famosa por playas, samba y el Cristo Redentor",Playa,1850.76,Tropical,"Playas, tours",https://plus.unsplash.com/premium_photo-1671211307997-f4f552b0601c
São Paulo,Brazil,A beautiful place to enjoy compras and experience cold weather.,Aventura,3729.42,Tropical,escalada,https://images.unsplash.com/photo-1554168848-228452c09d60
Santiago,Chile,Capital moderna rodeada de montañas y viñedos,Urbano,1508.7,Templado,"museos, senderismo",https://images.unsplash.com/photo-1689850543263-01a52ccc6943
Cape Town,South Africa,"Ciudad costera con montañas, playas y vida silvestre",Naturaleza,1686.67,Templado,"Playas, tours",https://images.unsplash.com/photo-1649148389196-51743eafef3f
Cairo,Egypt,"Ciudad histórica con pirámides, museos y mercado tradicional",Naturaleza,1170.4,Cálido,"Pirámides, museos, tours, photo spots",https://images.unsplash.com/photo-1626692880062-35c360fb6afc
Giza,Egypt,"Ubicación de las famosas pirámides y la Esfinge, a las afueras de El Cairo",Histórico,1531.28,Cálido,"visitas arqueológicas, paseos en camello",https://images.unsplash.com/photo-1666136242373-f060fff09729
Luxor,Egypt,Antigua Tebas con templos y el Valle de los Reyes,Histórico,1494.18,Cálido,"Templos, tumbas, excursiones en faluca, food tours",https://plus.unsplash.com/premium_photo-1661962355663-2a435ccf844d
Aswan,Egypt,"Tranquila ciudad del sur con represa, templos y acceso al Nilo",Cultural,1020.47,Cálido,"Paseos por el Nilo, templos, mercados, food tours",https://plus.unsplash.com/premium_photo-1694475193074-914ee0eb7308
Alexandria,Egypt,Puerto mediterráneo con historia greco-romana y bibliotecas,Cultural,1092.06,Cálido,"Museos, patrimonio",https://images.unsplash.com/photo-1633624646814-3a61ed3e2847
Dubai,United Arab Emirates,"Ciudad futurista con desierto, rascacielos y lujo",Urbano,2378.24,Cálido,"Compras, desierto, tours, food tours",https://images.unsplash.com/photo-1512453979798-5ea266f8880c
Marrakech,Morocco,"Ciudad tradicional famosa por mercados, arquitectura y desierto",Cultural,1561.81,Cálido,"Mercados, tours",https://images.unsplash.com/photo-1624805098931-098c0d918b34
Athens,Greece,Ciudad histórica con ruinas antiguas y clima mediterráneo,Histórico,1443.75,Cálido,"Ruinas, gastronomía",https://images.unsplash.com/photo-1603565816030-6b389eeb23cb
Santorini,Greece,"Isla volcánica famosa por sus vistas, playas y arquitectura blanca",Playa,2062.55,Cálido,"Playas, gastronomía",https://images.unsplash.com/photo-1688664562000-4c1f7cdb48f8
Mykonos,Greece,"Isla conocida por playas, vida nocturna y arquitectura cicládica",Aventura,1441.92,Cálido,"Playas, vida nocturna, navegación, photo spots",https://images.unsplash.com/photo-1601581875309-fafbf2d3ed3a
